Id,Tipo,Objeto_Pai,Tipo_Objeto_Pai,Descricao_Breve,Ref_Legado_Arquivo,Ref_Legado_Linhas,Desc_Abordagem,Ref_Doc_Abordagem,Ref_Doc_Linhas,Status_Documentacao,Status_Implementacao,Status_Teste_Unitario
TELA-0001,TELA,,,CB2QM010 - Tela consulta movto debito automatico,_LEGADO/cb2qa.esf,90,,,,,NOK,NOK,NA
TELA-0002,TELA,,,CB2QM020 - Tela listagem resultados consulta,_LEGADO/cb2qa.esf,590,,,,,NOK,NOK,NA
TELA-0003,TELA,,,CB2QM030 - Tela detalhamento parcelas,_LEGADO/cb2qa.esf,1452,,,,,NOK,NOK,NA
TELA-0004,TELA,,,CB2QM040 - Tela detalhamento completo movimento,_LEGADO/cb2qa.esf,2575,,,,,NOK,NOK,NA
TELA-0005,TELA,,,CB2QH010 - Tela ajuda CB2QM010,_LEGADO/cb2qa.esf,3448,,,,,NOK,NOK,NA
TELA-0006,TELA,,,CB2QH020 - Tela ajuda CB2QM020,_LEGADO/cb2qa.esf,3537,,,,,NOK,NOK,NA
TELA-0007,TELA,,,CB2QH030 - Tela ajuda CB2QM030,_LEGADO/cb2qa.esf,3578,,,,,NOK,NOK,NA
TELA-0008,TELA,,,CB2QH040 - Tela ajuda CB2QM040,_LEGADO/cb2qa.esf,3622,,,,,NOK,NOK,NA
METOD-0001,METODO,,,CB2QP000 - Processo inicial - inicializacao,_LEGADO/cb2qa.esf,3655-3684,,,,,NOK,NOK,NOK
METOD-0002,METODO,,,CB2QP005 - Processo principal - loop controle telas,_LEGADO/cb2qa.esf,3686-3788,,,,,NOK,NOK,NOK
METOD-0003,METODO,,,CB2QS010 - Valida e processa tela M010,_LEGADO/cb2qa.esf,3790-4007,,,,,NOK,NOK,NOK
METOD-0004,METODO,,,CB2QP019 - Move dados para tela M020,_LEGADO/cb2qa.esf,4027-4208,,,,,NOK,NOK,NOK
METOD-0005,METODO,,,CB2QS020 - Valida e processa tela M020,_LEGADO/cb2qa.esf,4228-4344,,,,,NOK,NOK,NOK
METOD-0006,METODO,,,CB2QP029 - Move dados para tela M030,_LEGADO/cb2qa.esf,4364-4546,,,,,NOK,NOK,NOK
METOD-0007,METODO,,,CB2QS030 - Valida e processa tela M030,_LEGADO/cb2qa.esf,4548-4632,,,,,NOK,NOK,NOK
METOD-0008,METODO,,,CB2QP032 - Move dados para tela M040,_LEGADO/cb2qa.esf,4634-5550,,,,,NOK,NOK,NOK
METOD-0009,METODO,,,CB2QS040 - Valida e processa tela M040,_LEGADO/cb2qa.esf,5552-5576,,,,,NOK,NOK,NOK
METOD-0010,METODO,,,CB2QS011 - Processa registro individual consulta,_LEGADO/cb2qa.esf,5578-6272,,,,,NOK,NOK,NOK
METOD-0011,METODO,,,CB2QP003 - Inquiry consulta V1SISTEMA,_LEGADO/cb2qa.esf,6274-6289,,,,,NOK,NOK,NOK
METOD-0012,METODO,,,CB2QP052 - Inquiry CB2QR001 por titulo,_LEGADO/cb2qa.esf,6291-6323,,,,,NOK,NOK,NOK
METOD-0013,METODO,,,CB2QP012 - Inquiry V0APOLCOB,_LEGADO/cb2qa.esf,6325-6350,,,,,NOK,NOK,NOK
METOD-0014,METODO,,,CB2QP042 - Inquiry V0PROPOSTA,_LEGADO/cb2qa.esf,6352-6380,,,,,NOK,NOK,NOK
METOD-0015,METODO,,,CB2QP036 - Inquiry V0BILHETE,_LEGADO/cb2qa.esf,6382-6411,,,,,NOK,NOK,NOK
METOD-0016,METODO,,,CB2QP021 - Inquiry V0PROPOSTAVA,_LEGADO/cb2qa.esf,6413-6440,,,,,NOK,NOK,NOK
METOD-0017,METODO,,,CB2QP026 - Inquiry SI_AR_DETALHE_VC,_LEGADO/cb2qa.esf,6442-6477,,,,,NOK,NOK,NOK
METOD-0018,METODO,,,CB2QP027 - Inquiry V0HISTCOBVA,_LEGADO/cb2qa.esf,6479-6510,,,,,NOK,NOK,NOK
METOD-0019,METODO,,,CB2QP011 - Inquiry V0CLIENTE por codigo,_LEGADO/cb2qa.esf,6512-6538,,,,,NOK,NOK,NOK
METOD-0020,METODO,,,CB2QP041 - Inquiry GE_LEGADO_PESSOA,_LEGADO/cb2qa.esf,6540-6569,,,,,NOK,NOK,NOK
METOD-0021,METODO,,,CB2QP013 - Inquiry V0FERIADOS,_LEGADO/cb2qa.esf,6571-6611,,,,,NOK,NOK,NOK
METOD-0022,METODO,,,CB2QP060 - Inquiry GE_MOVIMENTO,_LEGADO/cb2qa.esf,6965-6996,,,,,NOK,NOK,NOK
METOD-0023,METODO,,,CB2QP025 - Inquiry V0MOVDEBCC_CEF,_LEGADO/cb2qa.esf,7142-7174,,,,,NOK,NOK,NOK
METOD-0024,METODO,,,CB2QP007 - Inquiry V0PARCELA,_LEGADO/cb2qa.esf,7176-7213,,,,,NOK,NOK,NOK
METOD-0025,METODO,,,CB2QP004 - Inquiry V0HISTSINI,_LEGADO/cb2qa.esf,7215-7246,,,,,NOK,NOK,NOK
METOD-0026,METODO,,,CB2QP009 - Inquiry V0MESTSINI,_LEGADO/cb2qa.esf,7248-7278,,,,,NOK,NOK,NOK
METOD-0027,METODO,,,CB2QP033 - Inquiry OD_PESSOA_FISICA,_LEGADO/cb2qa.esf,7280-7306,,,,,NOK,NOK,NOK
METOD-0028,METODO,,,CB2QP031 - Inquiry OD_PESSOA_JURIDICA,_LEGADO/cb2qa.esf,7308-7334,,,,,NOK,NOK,NOK
METOD-0029,METODO,,,CB2QP006 - Inquiry LOTE_CHEQUES,_LEGADO/cb2qa.esf,7336-7369,,,,,NOK,NOK,NOK
METOD-0030,METODO,,,CB2QP008 - Inquiry V0CHEQUES,_LEGADO/cb2qa.esf,7371-7403,,,,,NOK,NOK,NOK
METOD-0031,METODO,,,CB2QP028 - Inquiry CHEQUES_EMITIDOS,_LEGADO/cb2qa.esf,7405-7437,,,,,NOK,NOK,NOK
METOD-0032,METODO,,,CB2QP035 - Inquiry BANCOS,_LEGADO/cb2qa.esf,7489-7516,,,,,NOK,NOK,NOK
METOD-0033,METODO,,,CB2QP050 - Inquiry SINISTRO_HISTORICO tipo H,_LEGADO/cb2qa.esf,7518-7582,,,,,NOK,NOK,NOK
METOD-0034,METODO,,,CB2QP051 - Inquiry SINISTRO_HISTORICO tipo T1,_LEGADO/cb2qa.esf,7584-7652,,,,,NOK,NOK,NOK
METOD-0035,METODO,,,CB2QP056 - SetInq cursor V0MOVDEBCC_CEF por titulo RD,_LEGADO/cb2qa.esf,6797-6832,,,,,NOK,NOK,NOK
METOD-0036,METODO,,,CB2QP053 - SetInq cursor CB2QR001 por apolice/endosso RD,_LEGADO/cb2qa.esf,6613-6666,,,,,NOK,NOK,NOK
METOD-0037,METODO,,,CB2QP057 - SetInq cursor V0MOVDEBCC_CEF por apolice RD,_LEGADO/cb2qa.esf,6834-6893,,,,,NOK,NOK,NOK
METOD-0038,METODO,,,CB2QP054 - SetInq cursor CB2QR001 por conta RD,_LEGADO/cb2qa.esf,6668-6726,,,,,NOK,NOK,NOK
METOD-0039,METODO,,,CB2QP058 - SetInq cursor V0MOVDEBCC_CEF por conta RD,_LEGADO/cb2qa.esf,6895-6960,,,,,NOK,NOK,NOK
METOD-0040,METODO,,,CB2QP055 - SetInq cursor CB2QR001 por cartao RD,_LEGADO/cb2qa.esf,6728-6779,,,,,NOK,NOK,NOK
METOD-0041,METODO,,,CB2QP059 - SetInq cursor V0MOVDEBCC_CEF por cartao RD,_LEGADO/cb2qa.esf,6962-7017,,,,,NOK,NOK,NOK
METOD-0042,METODO,,,CB2QP014 - SetInq cursor V0MOVDEBCC_CEF por titulo,_LEGADO/cb2qa.esf,7019-7050,,,,,NOK,NOK,NOK
METOD-0043,METODO,,,CB2QP015 - SetInq cursor V0MOVDEBCC_CEF por apolice,_LEGADO/cb2qa.esf,7052-7084,,,,,NOK,NOK,NOK
METOD-0044,METODO,,,CB2QP016 - SetInq cursor V0MOVDEBCC_CEF por conta,_LEGADO/cb2qa.esf,7086-7120,,,,,NOK,NOK,NOK
METOD-0045,METODO,,,CB2QP017 - SetInq cursor V0MOVDEBCC_CEF por cartao,_LEGADO/cb2qa.esf,7122-7140,,,,,NOK,NOK,NOK
METOD-0046,METODO,,,CB2QP023 - SetInq cursor CALENDARIO,_LEGADO/cb2qa.esf,7439-7468,,,,,NOK,NOK,NOK
METOD-0047,METODO,,,CB2QP038 - SetInq cursor GE_MOVTO_CONTA,_LEGADO/cb2qa.esf,7470-7487,,,,,NOK,NOK,NOK
METOD-0048,METODO,,,CB2QP018 - Scan cursor V0MOVDEBCC_CEF,_LEGADO/cb2qa.esf,6781-6795,,,,,NOK,NOK,NOK
METOD-0049,METODO,,,CB2QP024 - Scan cursor CALENDARIO,_LEGADO/cb2qa.esf,7654-7672,,,,,NOK,NOK,NOK
METOD-0050,METODO,,,CB2QP039 - Scan cursor GE_MOVTO_CONTA,_LEGADO/cb2qa.esf,7674-7688,,,,,NOK,NOK,NOK
METOD-0051,METODO,,,CB2QS014 - Determina tipo documento busca cliente,_LEGADO/cb2qa.esf,6998-7140,,,,,NOK,NOK,NOK
METOD-0052,METODO,,,CB2QS012 - Processa cheques,_LEGADO/cb2qa.esf,7690-7780,,,,,NOK,NOK,NOK
METOD-0053,METODO,,,CB2QS013 - Processa movimento GE,_LEGADO/cb2qa.esf,7782-7896,,,,,NOK,NOK,NOK
METOD-0054,METODO,,,CB2QS001 - Formata CPF/CNPJ,_LEGADO/cb2qa.esf,7898-7931,,,,,NOK,NOK,NOK
METOD-0055,METODO,,,CB2QS021 - Move dados paginacao M020,_LEGADO/cb2qa.esf,7933-8036,,,,,NOK,NOK,NOK
METOD-0056,METODO,,,CB2QP022 - Processa selecao item M020,_LEGADO/cb2qa.esf,8038-8223,,,,,NOK,NOK,NOK
METOD-0057,METODO,,,CB2QS022 - Valida tipo segurado,_LEGADO/cb2qa.esf,8225-8351,,,,,NOK,NOK,NOK
METOD-0058,METODO,,,CB2QS031 - Move dados paginacao M030,_LEGADO/cb2qa.esf,8353-8442,,,,,NOK,NOK,NOK
METOD-0059,METODO,,,CB2QS032 - Processa teclas M030,_LEGADO/cb2qa.esf,8444-8538,,,,,NOK,NOK,NOK
METOD-0060,METODO,,,CB2QS033 - Monta linha exibicao M030,_LEGADO/cb2qa.esf,8540-8593,,,,,NOK,NOK,NOK
METOD-0061,METODO,,,CB2QP12A - Inquiry descricao tipo cobranca,_LEGADO/cb2qa.esf,8595-8622,,,,,NOK,NOK,NOK
METOD-0062,METODO,,,CB2QP12B - Inquiry descricao situacao cobranca,_LEGADO/cb2qa.esf,8624-8651,,,,,NOK,NOK,NOK
METOD-0063,METODO,,,CB2QP13A - Inquiry descricao situacao parcela,_LEGADO/cb2qa.esf,8653-8680,,,,,NOK,NOK,NOK
METOD-0064,METODO,,,CB2QP13B - Inquiry descricao forma cobranca,_LEGADO/cb2qa.esf,8682-8709,,,,,NOK,NOK,NOK
METOD-0065,METODO,,,CB2QP13C - Inquiry descricao tipo cobranca M030,_LEGADO/cb2qa.esf,8711-8738,,,,,NOK,NOK,NOK
