Id,Tipo,Objeto_Pai,Tipo_Objeto_Pai,Descricao_Breve,Ref_Legado_Arquivo,Ref_Legado_Linhas,Desc_Abordagem,Ref_Doc_Abordagem,Ref_Doc_Linhas,Status_Documentacao,Status_Implementacao,Status_Teste_Unitario
METOD-0067,METODO,,,ZZRCIN1 - Error handler INQUIRY/SCAN,_LEGADO/external,N/A,Migrar para exception handler customizado FastAPI,,,NOK,NOK,NOK
METOD-0068,METODO,,,ZZRCIN2 - Error handler SETINQ,_LEGADO/external,N/A,Migrar para exception handler customizado FastAPI,,,NOK,NOK,NOK
METOD-0069,METODO,,,ZZ01SGPS3 - Funcao global tecla F3 sair,_LEGADO/external,N/A,Migrar para endpoint logout/close session,,,NOK,NOK,NOK
METOD-0070,METODO,,,ZZ01SGPS12 - Funcao global tecla F12 cancelar,_LEGADO/external,N/A,Migrar para logica cancelamento frontend React,,,NOK,NOK,NOK
METOD-0071,METODO,,,ZZ20S01 - Funcao formatacao/conversao dados,_LEGADO/external,N/A,Migrar para utility functions Python/TypeScript,,,NOK,NOK,NOK
QUERY-0001,QUERY,CB2QP003,METODO,"SELECT: V1SISTEMA WHERE IDSISTEM='CB' - Busca data abertura",_LEGADO/cb2qa.esf,6274-6289,Migrar para SistemaRepository.GetDataAbertura(),,,NOK,NOK,NOK
QUERY-0002,QUERY,CB2QP052,METODO,"SELECT: CB2QR001 JOIN V1ENDOSSO WHERE NUM_APOLICE - Busca RD apolice filtro ramos",_LEGADO/cb2qa.esf,6291-6323,Migrar para RegistroDebAutoRepository.GetByApolice(),,,NOK,NOK,NOK
QUERY-0003,QUERY,CB2QP012,METODO,"SELECT: GE_MOVTO_CONTA WHERE NUM_APOLICE,ENDOSSO,CONVENIO,PARCELA,NSAS - Busca movimento conta",_LEGADO/cb2qa.esf,6325-6350,Migrar para MovimentoContaRepository.GetByChaveComposta(),,,NOK,NOK,NOK
QUERY-0004,QUERY,CB2QP042,METODO,SELECT: V0APOLCOB WHERE NUM_APOLICE - Busca dados conta/cartao apolice,_LEGADO/cb2qa.esf,6352-6380,Migrar para ApoliceCobrancaRepository.GetByApolice(),,,NOK,NOK,NOK
QUERY-0005,QUERY,CB2QP036,METODO,"SELECT: V1MOVDEBCC_CEF WHERE COD_CONVENIO,NUM_APOLICE,NRENDOS,AGENCIA,CONTA,CARTAO - Busca requisicao",_LEGADO/cb2qa.esf,6382-6411,Migrar para MovDebCCRepository.GetNumRequisicao(),,,NOK,NOK,NOK
QUERY-0006,QUERY,CB2QP021,METODO,SELECT: GE_LEGADO_PESSOA WHERE NUM_OCORR_MOVTO - Busca pessoa por movimento,_LEGADO/cb2qa.esf,6413-6440,Migrar para PessoaLegadoRepository.GetByMovimento(),,,NOK,NOK,NOK
QUERY-0007,QUERY,CB2QP026,METODO,SELECT: OD_PESSOA_FISICA WHERE NUM_PESSOA - Busca dados CPF nome PF,_LEGADO/cb2qa.esf,6442-6477,Migrar para PessoaFisicaRepository.GetById(),,,NOK,NOK,NOK
QUERY-0008,QUERY,CB2QP027,METODO,SELECT: OD_PESSOA_JURIDICA WHERE NUM_PESSOA - Busca dados CNPJ razao PJ,_LEGADO/cb2qa.esf,6479-6510,Migrar para PessoaJuridicaRepository.GetById(),,,NOK,NOK,NOK
QUERY-0009,QUERY,CB2QP011,METODO,SELECT: V0BILHETE WHERE NUMBIL - Busca bilhete por numero,_LEGADO/cb2qa.esf,6512-6538,Migrar para BilheteRepository.GetByNumero(),,,NOK,NOK,NOK
QUERY-0010,QUERY,CB2QP041,METODO,SELECT: V0BILHETE WHERE NUM_APOLICE - Busca bilhete por apolice,_LEGADO/cb2qa.esf,6540-6569,Migrar para BilheteRepository.GetByApolice(),,,NOK,NOK,NOK
QUERY-0011,QUERY,CB2QP013,METODO,"SELECT: V1ENDOSSO WHERE NUM_APOLICE,NRENDOS - Busca dados endosso",_LEGADO/cb2qa.esf,6571-6611,Migrar para EndossoRepository.GetById(),,,NOK,NOK,NOK
QUERY-0012,QUERY,CB2QP12A,METODO,SELECT: V0HISTCOBVA WHERE NRTIT - Busca numero certificado por titulo,_LEGADO/cb2qa.esf,8595-8622,Migrar para HistCobrancaVARepository.GetCertificado(),,,NOK,NOK,NOK
QUERY-0013,QUERY,CB2QP12B,METODO,SELECT: V0PROPOSTAVA WHERE NRCERTIF - Busca cliente por certificado,_LEGADO/cb2qa.esf,8624-8651,Migrar para PropostaVARepository.GetCliente(),,,NOK,NOK,NOK
QUERY-0014,QUERY,CB2QP060,METODO,"SELECT: V0PROPOSTA WHERE NRPROPOS,FONTE - Busca cliente por proposta fonte",_LEGADO/cb2qa.esf,6965-6996,Migrar para PropostaRepository.GetCliente(),,,NOK,NOK,NOK
QUERY-0015,QUERY,CB2QP13A,METODO,SELECT: V0MESTSINI WHERE NUM_APOL_SINISTRO - Busca sinistro mes,_LEGADO/cb2qa.esf,8653-8680,Migrar para MesSinistroRepository.GetByApolice(),,,NOK,NOK,NOK
QUERY-0016,QUERY,CB2QP13B,METODO,"SELECT: V0HISTSINI WHERE NUM_APOL_SINISTRO,OCORHIST - Busca nome favorecido historico",_LEGADO/cb2qa.esf,8682-8709,Migrar para HistSinistroRepository.GetFavorecido(),,,NOK,NOK,NOK
QUERY-0017,QUERY,CB2QP13C,METODO,SELECT: V0CHEQUES WHERE CHQINT - Busca nome favorecido cheque,_LEGADO/cb2qa.esf,8711-8738,Migrar para ChequesRepository.GetFavorecido(),,,NOK,NOK,NOK
QUERY-0018,QUERY,CB2QP14A,METODO,SELECT: V0CLIENTE WHERE COD_CLIENTE - Busca nome razao CPF/CNPJ,_LEGADO/cb2qa.esf,8740-8764,Migrar para ClienteRepository.GetById(),,,NOK,NOK,NOK
QUERY-0019,QUERY,CB2QP025,METODO,"SELECT: V0PARCELA WHERE NUM_APOLICE,NRENDOS,NRPARCEL - Busca situacao parcela",_LEGADO/cb2qa.esf,7142-7174,Migrar para ParcelaRepository.GetSituacao(),,,NOK,NOK,NOK
QUERY-0020,QUERY,CB2QP007,METODO,SELECT: GE_MOVIMENTO WHERE NUM_OCORR_MOVTO - Busca dados movimento GE,_LEGADO/cb2qa.esf,7176-7213,Migrar para MovimentoGERepository.GetByOcorrencia(),,,NOK,NOK,NOK
QUERY-0021,QUERY,CB2QP004,METODO,"SELECT: SI_AR_DETALHE_VC WHERE NUM_APOL_SINISTRO,OCORR_HISTORICO - Busca detalhe sinistro",_LEGADO/cb2qa.esf,7215-7246,Migrar para SinistroARDetalheRepository.GetById(),,,NOK,NOK,NOK
QUERY-0022,QUERY,CB2QP009,METODO,SELECT: BANCOS WHERE COD_BANCO - Busca nome banco,_LEGADO/cb2qa.esf,7248-7278,Migrar para BancosRepository.GetNome(),,,NOK,NOK,NOK
QUERY-0023,QUERY,CB2QP033,METODO,"SELECT: CALENDARIO WHERE DATA_CALENDARIO,DIA_SEMANA IN (S,D) - Busca fim semana com calculos",_LEGADO/cb2qa.esf,7280-7306,Migrar para CalendarioRepository.GetFimSemana(),,,NOK,NOK,NOK
